id,session,title,authors,orgs,org_type,domain,method,solver,maturity,one_liner,tier2,ss2026
1-C-6,生産関連,Collaborative CO2 Optimization for Mushroom-to-Greenhouse Airflow Systems: A Mixed-Integer Linear Programming Approach,*Deyang Liu;Joseph K.H. Wang,Volapu Research,企業,農業;エネルギー,MILP,,数値実験,きのこ温室連携のCO2給排気制御をMILPで最適化し24時間シミュレーションで目標CO2濃度への追従を確認した,ORSJ2026秋_1-C-6_きのこ温室CO2最適化,
1-C-7,生産関連,資本効率を重視したボトルネック工程の有効稼働を高める生産スケジューリング,*村田凌;河合皓介;田中謙司,東京大学,大学,製造,構築型ヒューリスティクス,,数値実験,ROIC向上に寄与する滞留時間と負荷率重み付き段取りを目的関数化したリストスケジューラでスループットとのトレードオフを分析した,ORSJ2026秋_1-C-7_資本効率生産スケジューリング,
1-C-8,生産関連,大規模言語モデルを用いた配送計画修正支援における情報保持方式の一考察,*高瀬洋志,トヨタ自動車,企業,物流;配送計画,LLM,,数値実験,LLMによる配送計画修正支援でContext方式とRAG方式の情報保持を比較し稼働時間平準化を題材に計算実験した,ORSJ2026秋_1-C-8_LLM配送計画修正情報保持方式,SS2026_OS1-3_LLMエージェント最適化の解法秘匿性
1-C-9,生産関連,機械学習と数理最適化の融合による、配合レシピ最適化システム開発事例,魚井英生;日高規雄,株式会社ブレインパッド;株式会社カルビー,企業,製造;食品,機械学習;非線形最適化,Hexaly,実運用,Hexalyソルバーで機械学習予測式を直接組み込む配合レシピ最適化システムを開発しDSLとGUIで実務展開性を高めた,ORSJ2026秋_1-C-9_配合レシピ最適化システム,SS2026_GS5-3_Hexaly_Optimizer_15.0
1-D-1,ゲーム理論(1),Understanding Agricultural Supply Chain Behavior under Yield and Demand Uncertainty,Erny Rahayu Wijayanti;成島康史,慶應義塾大学,大学,SCM;農業,ゲーム理論,,理論,収穫量と需要の不確実性を考慮した農業サプライチェーンネットワーク均衡(SCNE)モデルをVIPとして構築した,,
1-D-2,ゲーム理論(1),アセットライト経営とマルチモーダル輸送を考慮したサプライチェーンネットワーク均衡問題について,*岩本莉奈;成島康史,慶應義塾大学,大学,SCM;物流,ゲーム理論,,理論,製造委託とマルチモーダル輸送・CO2排出権取引を組み込んだサプライチェーンネットワーク均衡問題を変分不等式として定式化した,,
1-D-3,ゲーム理論(1),待ち行列ゲームにおける時間帯予約システムの導入,*室谷顕玖;川原拓馬;福田恵美子;佐久間大,東京科学大学;Side Kicks株式会社;防衛大学校,産学,,待ち行列;ゲーム理論,,数値実験,予約客と逸脱客の二列構造を持つ待ち行列ゲームで予約均衡を定義し数値実験で平均待ち時間短縮を確認した,,
1-D-4,ゲーム理論(2),交換経済における初期保有配分の変化がもたらす価格調整過程への影響の分析,*松本留依;福田恵美子;大和毅彦;瀋俊毅;下村研一,東京科学大学;神戸大学;立命館アジア太平洋大学,大学,,ゲーム理論;統計検定,,実データ検証,初期保有配分を変化させ内部競争均衡の安定性を変えた交換経済モデルでダブルオークション実験を行い価格調整過程への影響を分析した,,
1-D-5,ゲーム理論(2),転売に対する公平性への懸念を考慮した二次流通市場のモデル分析,*鈴木海琉;松林伸生,慶應義塾大学,大学,,ゲーム理論,,理論,企業・投機家・消費者による2期間ゲームで転売品への不公平感が企業利益や社会厚生に与える影響を分析した,,
1-D-6,ゲーム理論(2),強安定確率配分メカニズムにおける戦略的虚偽表明に関する分析,*高瀬颯太;坂東桂介,慶應義塾大学,大学,,ゲーム理論;シミュレーション,,数値実験,学校選択のFDAメカニズムの耐戦略性がトランケーション戦略の分析と同値であることを示しシミュレーションで市場規模との関係を調べた,,
1-D-7,ゲーム理論(3),無限繰り返し2人囚人のジレンマゲームに対するハイパーゲームモデルの数値的考察,*山田漱介;林田智弘;関崎真也;森川克己,広島大学,大学,,ゲーム理論,,数値実験,無限繰り返し囚人のジレンマゲームをハイパーゲームに拡張し相手利得の誤認識が均衡でない戦略選択を招くことを数値的に示した,,
1-D-8,ゲーム理論(3),A New Method for Finding the Schulze Winner Set,Satoru Fujishige;Leo Goto;Satoshi Nakada,京都大学;東京理科大学,大学,,ゲーム理論,,理論,Schulze勝者集合を求める新アルゴリズムSuccessiveDicutを提案しSchwartz集合との関係を形式化した,,
1-D-9,ゲーム理論(3),混合戦略のナッシュ均衡を目指すマルチエージェント強化学習の学習手法に関する研究,森川優咲;吉田和樹,東京都立産業技術高等専門学校,大学,,強化学習;ゲーム理論,,数値実験,チキンゲームの無差別条件をNash正則化項として損失に加えるマルチエージェント強化学習を提案し7種のゲームで理論値への収束を確認した,,
1-E-1,信頼性,2次元ネットワークの信頼度計算,*中村正治;平田なつひ;馬場佳理;岩田員典,金城学院大学;四日市看護医療大学;愛知大学,大学,通信ネットワーク,,,理論,12ユニットの2次元冗長システムについて信頼性・故障率・中央値の計算式を導出し2種類のネットワーク構成を数値比較した,,
1-E-2,信頼性,Breathe New Life into Classical Software Reliability Models with Least Squares Estimation,*土肥正;呉敬馳;鄭俊俊;岡村寛之,広島大学,大学,ソフトウェア信頼性,,,理論,NHPP型ソフトウェア信頼性モデルの最小二乗推定に一般化情報量基準GICを適用するモデル選択法を提案した,,
1-E-3,信頼性,MDD/MxDを用いた多状態システムの境界分析に関する一考察,*岡村寛之;土肥正,広島大学,大学,,決定図(MDD/MxD),,理論,非単調な多状態システムの性能水準境界をMDD/MxD上の境界演算子で表現しMPV/MCV導出の枠組みを一般化した,,
1-E-4,機械学習(1),商品人気・店舗規模の影響を除いた店舗・商品間の類似度に基づく関係学習,*中屋嘉弥;吉武渓;吉田開;吉岡桃香;吉村光瑛;山崎公耀;清武志功;益山尚大;小林健;中田和秀,東京科学大学,大学,SCM,機械学習,,数値実験,店舗規模と商品人気の影響を除くNPMIを教師信号に超球面上でコサイン類似度を学習し書店POSデータで既存法を上回った,ORSJ2026秋_1-E-4_店舗商品類似度学習,
1-E-5,機械学習(1),売上傾向の違いを考慮したバブル型連合学習による小売需要予測,*呉景琪;守山日向;渡辺隼人;越智大登;川田隼;金井秀斗;ニクライ龍平ダニエル;横田大智;小林健;中田和秀,東京科学大学,大学,需要予測;SCM,機械学習,,数値実験,予測性能に基づく貪欲法と局所探索でクライアントのバブルを構築するバブル型連合学習を提案しM5データで既存FL手法を上回るRMSEを得た,ORSJ2026秋_1-E-5_バブル型連合学習小売需要予測,SS2026_GS5-1_AI時代の時系列予測I
1-E-6,機械学習(1),ESENSC: 協力ゲーム理論に基づくSHAPの代替的手法の提示と機能比較・公理化について,*篠潤之介;平木一浩;石原慎一;近郷匠,国際通貨基金;早稲田大学;福岡大学,産学官,,機械学習;ゲーム理論,,理論,SHAPの代替としてEqual Surplus解に基づくESENSCを提案し計算量を線形時間に削減しつつSHAPとの近さを検証した,ORSJ2026秋_1-E-6_ESENSC_SHAP代替,
1-E-7,機械学習(2),離反を考慮した状態適応的方策による双方向推薦,*西村直樹;小山田創哲,株式会社リクルート;神戸大学,産学,,DP,,数値実験,求職者の離反を状態に含むMDPを価値反復法で解き閲覧・マッチング率を最大化する状態適応的推薦方策を提案した,ORSJ2026秋_1-E-7_離反考慮双方向推薦,
1-E-8,機械学習(2),間違った判別理論に代る世界初のLSD(Linier Separable Data）理論-RIPによるLSDは、量子計算機とIPソフトの検証に最適-,*新村秀一,成蹊大学,大学,医療,MILP;分枝限定,LINGO,理論,線形判別関数を整数計画のRIPとして定式化し誤分類0のLinearly Separable Dataを判別分析やがん遺伝子診断で例示した,ORSJ2026秋_1-E-8_LSD理論とRIP判別,
1-E-9,機械学習(2),AIとノイズ,一色智裕,ファイナンシャルテクノロジーシステム株式会社,企業,,,,解説・提案,HopfieldモデルからLLM・拡散モデル・敵対的サンプルまでAIとノイズの関係を概説する講演である,ORSJ2026秋_1-E-9_AIとノイズ,
1-F-1,ポートフォリオ(1),Continuous-time optimal pair-trade execution with cross-impacts and common risk factors: Numerical results,大西匡光;*下清水慎,大和大学;大阪大学;東京理科大学,大学,金融,DP,,数値実験,クロスインパクトと共通リスク要因を考慮した連続時間最適ペアトレード執行問題をHJB方程式で解き最適執行速度の解析解を得た,,
1-F-2,ポートフォリオ(1),見かけのLLM金融予測力はどこから生じるか――VIX先物方向予測とSPYボラティリティ運用の再現性監査――,*竹内玄信,交響楽,企業,金融,LLM;統計検定,,実データ検証,LLMによるVIX先物方向予測・SPYボラティリティ運用の成績を予測情報・見送り・執行条件・市場露出に分解して監査する枠組みを提案した,,
1-F-3,ポートフォリオ(1),Corporate investment portfolio with time-risk,*全海濬;西原理,大阪大学,大学,金融,,,理論,投資プロジェクトの完成時期の不確実性（time-risk）を持つ企業ポートフォリオの平均分散型最適配分を導出した,,
1-F-4,学生発表(3)／ポートフォリオ(2),先験情報を用いたインプライド同時収益率分布の推定,*美馬一翔;枇々木規雄,慶應義塾大学,大学,金融,,,実データ検証,Block Rearrangement Algorithmに相関行列を先験情報として組み込みインプライド同時収益率分布の推定精度を改善した,,
1-F-5,学生発表(3)／ポートフォリオ(2),閾値を考慮したフィルタリングによるネットワークリスクパリティポートフォリオの構築,*那須美律;枇々木規雄,慶應義塾大学,大学,金融,,,実データ検証,市場グラフのエッジフィルタリング手法として平均閾値有意性グラフ(MTSG)を提案し日経225銘柄のバックテストでMSTより高い累積リターンを示した,,
1-F-6,学生発表(3)／ポートフォリオ(2),基数制約付きポートフォリオ最適化問題に対する最適保証スクリーニング規則,*和田菜々里;池田春之介;高野祐一,筑波大学,大学,金融,MILP,,理論,ℓ0正則化の最適保証スクリーニング規則を基数制約付きポートフォリオ最適化に拡張し事前に決定変数を固定する手法を示した,,
1-F-7,信用リスク・リスク管理,否決先データを活用した教育ローン向け信用スコアリングモデル構築アプローチの比較,戸城正浩;*船越千寛;尾木研三;枇々木規雄,株式会社日本政策金融公庫;専修大学;慶應義塾大学,産学,金融,機械学習,,実データ検証,教育ローンの信用スコアリングで2段階・単一・リジェクト推論の3アプローチを比較しAUCで従来のデフォルト推定モデルを上回った,,
1-F-8,信用リスク・リスク管理,格付AR値変動の構造分析―件数ベース寄与度分解と境界構造―,*木村和央;友添峻希,株式会社日経金融工学研究所,企業,金融,機械学習,,実データ検証,Integrated Gradientsで格付AR値変化を件数ベースの寄与度に分解し格付上位・下位側の境界構造指標を定義して実データで検証した,,
1-F-9,信用リスク・リスク管理,日経225先物の日内価格変動と出来高のウェーブレット分析,*落合夏海,兵庫県立大学,大学,金融,,,実データ検証,日経225ミニ先物の約10年の高頻度データに連続ウェーブレット解析を適用し夜間・日中の価格変動と出来高の関係を検証する,,
1-G-1,政策・行政,非比例議席配分のための格差評価指標について,劉海衣;谷本明子;ルシッチニコラス;趙亮,京都大学,大学,公共,統計検定,,実データ検証,一票の格差の既存指標を非比例原則に一般化し人口予測を用いた参議院選への適用で格差指標の変化を示した,,
1-G-2,政策・行政,都道府県産業連関表作成の現状課題―実務者の視点から―,*岩崎喜也,長崎県庁,官公庁,公共,,,実データ検証,2015年都道府県産業連関表と全国表・県民経済計算を比較し推計手法の不統一による乖離状況を実務者視点で示した,,
1-G-3,政策・行政,自治体の施策評価を目的としたデジタル社会実験におけるシリコンサンプリング手法,*長井千紘;坂田顕庸;高橋真吾,早稲田大学,大学,公共;自治体,LLM;シミュレーション,,理論,自治体の施策評価向けデジタル社会実験(SPD)でLLMによるシリコンサンプリングの受容性評価基準を3つ提案した,,
1-G-4,公共関連(1),AI生成ブラウザネイティブ・アクセシビリティシステムの能力境界 運用限界と拡張可能性,*石井大輔,株式会社キアラ,企業,公共,LLM,,実データ検証,アクセシビリティ能力境界(ACB)という形式的枠組みを提案しAI生成の単一ファイルHTMLアクセシビリティシステム2件を実運用プロトタイプとして分析した,,
1-G-5,公共関連(1),海上捜索における複数捜索ユニットの領域割当モデル,長岡俊介;*佐久間大;鵜飼孝盛,防衛大学校;東京理科大学,大学,公共,局所探索;構築型ヒューリスティクス,,理論,漂流予測の複数経路から遭難者存在確率を推定し発見成功確率を最大化する領域スワップ法と矩形分割法の2手法を提案した,,
1-G-6,公共関連(1),平行トレンド仮定不成立下におけるエージェントベースシミュレーションを用いた因果推論手法,*小安陽也;坂田顕庸;高橋真吾,早稲田大学,大学,公共,シミュレーション,,理論,平行トレンド仮定が成り立たない状況でワクチン接種・自粛行動をモデルケースにエージェントベースシミュレーションで反実仮想を生成し施策効果を推定する枠組みを提案した,,
1-G-7,学生発表(5)／公共関連(2),運搬ロボットを用いたパズル型駐車システムの車両出庫問題に対するA∗探索,*鄭嘉翔;土屋秀和;中村太信,東海大学;関西大学,大学,物流,分枝限定;構築型ヒューリスティクス,Gurobi,数値実験,運搬ロボット付きパズル型駐車の車両出庫問題を状態空間問題として定式化しA∗探索によりILPと同じコストの解を大幅に短い計算時間で得た,,
1-G-8,学生発表(5)／公共関連(2),宿泊税負担下における旅行者の不満要因は何か,*廣田愛莉;朝日弓未,東京理科大学,大学,観光,機械学習,,実データ検証,楽天トラベル口コミ約52万件をTF-IDF等で分析し宿泊税導入環境と非導入環境で価格不満の要因（機能的価値か体験的価値か）が異なることを示した,,
1-G-9,学生発表(5)／公共関連(2),道路ネットワーク要約を用いた施設配置問題の近似解法とその性能評価,*高山陽路;柿本陽平;豊谷純,日本大学,大学,交通,分枝限定;局所探索,Gurobi,数値実験,Louvain法によるネットワーク要約と最適性Gap基準を組み合わせた近似解法(LVH)を提案し千葉県10市区町村のFCLPで焼きなまし法より計算時間で優位性を示した,,
1-G-10,学生発表(5)／公共関連(2),逆最適化アプローチによる議席配分の公平性評価,*川根大輝;長野北斗;伊豆永洋一,九州大学,大学,公共,離散凸解析,,理論,議員定数配分の除数方式を分離型離散凸資源配分問題とみなし配分結果から選挙区への重みを推定する逆最適化問題を定式化した,,
1-H-1,企業事例交流会,石油開発の上流・中流事業における最適化の取り組み,*長谷川智紀;広瀬翔;澤田大毅;新部貴夫,石油資源開発株式会社,企業,エネルギー,MILP,Gurobi,数値実験,石油資源開発が上流探鉱・生産の最適化例と中流GVC操業計画のMILP化・Gurobi求解事例を紹介した,ORSJ2026秋_1-H-1_JAPEX上中流事業最適化,
1-H-2,企業事例交流会,ガス会社におけるフィールドオペレーション高度化と現場定着への取り組み～AI・最適化システムの導入・運用事例～,*飯野佑樹;*清水雄介;小笠原隆行,東京ガス株式会社,企業,エネルギー,機械学習,,実運用,東京ガスがAI・最適化システムを用いたフィールドオペレーション高度化と現場定着の導入・運用事例を紹介した,ORSJ2026秋_1-H-2_東京ガスAI最適化事例,
1-H-3,企業事例交流会,天気予報による死者数予測に基づく企業オペレーション,*石原慶一;*小西弘樹;渡邉文隆;宇佐美朋香;藤巻米隆,京都大学;株式会社ルリアン,産学,需要予測,,,解説・提案,天気予報に基づく死者数予測を企業オペレーションに活用する取り組みを紹介した,ORSJ2026秋_1-H-3_死者数予測企業オペレーション,
1-H-4,企業事例交流会,方策学習による広告アセットポートフォリオ最適化,*浅見正洋;田中滉一;王直;石塚湖太;川上孝介;齋藤優太,慶應義塾大学;株式会社博報堂テクノロジーズ;半熟仮想株式会社,産学,広告,強化学習;機械学習,,実データ検証,広告アセット選択を文脈付き組合せバンディットとして定式化し方策分解Ad-POMを提案、実データで既存法を上回った,ORSJ2026秋_1-H-4_広告アセットポートフォリオ最適化,
1-H-5,企業事例交流会,実務的制約を考慮した配船計画問題の構造化と解法,*稲田陽光;小西伸之;石井一光,キヤノンITソリューションズ株式会社,企業,物流,構築型ヒューリスティクス,,解説・提案,化学業界の配船計画を在庫推移と船舶状態遷移の逐次意思決定問題として構造化し、候補生成・評価・選択のヒューリスティックで解く手法を提案した,ORSJ2026秋_1-H-5_化学業界配船計画構造化,
1-H-6,企業事例交流会,工事立会者手配問題への数理最適化の適用と数理最適化の民主化への展望,*高須賀将秀,NTT西日本,企業,人員計画,集合被覆;列生成;LLM,Gurobi;PuLP,実データ検証,工事立会者手配を集合被覆・制約生成法で最適化し、手配時間を約3時間から約5分に短縮、割当ペナルティを163から81に半減した,ORSJ2026秋_1-H-6_工事立会者手配最適化民主化,
1-S-1,特別講演1,答えを急がず、問いを育てる―「何を解くか」から始める産学連携―,*古賀伸彦,トヨタ自動車株式会社未来創生センター,企業,企業間連携,,,解説・提案,「何を解くか」から始める産学連携をテーマに、問いの育て方を論じた特別講演,ORSJ2026秋_1-S-1_特別講演古賀伸彦産学連携,
1-S-2,特別講演2,京都大学におけるイノベーション創出とグローバル展開への挑戦・貢献,*室田浩司,京都大学成長戦略本部,大学,,,,解説・提案,京都大学におけるイノベーション創出とグローバル展開への挑戦・貢献をテーマにした特別講演,ORSJ2026秋_1-S-2_特別講演室田浩司京大イノベーション,
2-A-1,学生発表(6)／連続最適化(4),多目的最適化に対するPascoletti–Seraﬁniモデルの最適値関数と勾配を用いたパレートフロンティア近似,舟橋凌;山下信雄;福田エレン秀美,京都大学,大学,,機械学習,,数値実験,PSモデルの最適値関数の勾配を利用したガウス過程回帰でパレートフロンティアを推定しHausdorff距離上界を改善,,
2-A-2,学生発表(6)／連続最適化(4),Exact Majorization and Conic Representability for a Class of Non-Negative L1-Loss Estimation Problems,ZHOU Zihao;FUKUDA Ellen Hidemi,京都大学,大学,,,Clarabel,理論,L1損失推定問題が正確な凸錐再定式化可能となる条件を特定し収束するCCCP型解法を提案,,
2-A-3,学生発表(6)／連続最適化(4),A reformulation of the nonlinear exponential cone optimization problem,LI Huimin;FUKUDA Ellen Hidemi,京都大学,大学,,,,理論,非線形指数錐最適化を等式制約NLPに再定式化しKKT条件や制約想定の対応関係を示した,,
2-A-4,学生発表(8)／連続最適化(5),制約付き多目的最適化に対する逐次球交差近似法,相澤颯太;福田エレン秀美;山下信雄,京都大学,大学,,,,理論,単一目的のMoving Balls Approximationを多目的問題へ拡張しパレート停留点への収束を示した,,
2-A-5,学生発表(8)／連続最適化(5),混合正規分布下における分布的ロバストポートフォリオ最適化のためのロバスト尺度,大久保雄基;後藤順哉,中央大学,大学,金融,,,理論,混合正規分布下のポートフォリオ選択にDROを適用しレジーム別のWorst-Case Sensitivity尺度を導出,,
2-A-6,学生発表(8)／連続最適化(5),2段階変分不等式問題に対するBregman距離に基づく慣性項付き外挿勾配法,陳康明;堀篤史;福田エレン秀美,東京都立大学;名古屋工業大学;京都大学,大学,,,,理論,双対空間で慣性項を構成するBregman型外挿勾配法を提案し非漸近収束率を導出,,
2-A-7,連続最適化(6),決定変数依存型確率オラクルを用いる非凸0次法の計算量改善,引間友也;武田朗子,東京科学大学;東京大学,大学,,,,理論,複数探索方向の勾配推定量を平均化し決定依存ノイズ下の0次法のオラクル計算量を既存より改善,,
2-A-8,連続最適化(6),実行不可能な制約付き最適化問題に対する階層的ペナルティ法,山中翔太;山川雄也;山下信雄,トヨタ自動車;東京都立大学;京都大学,産学,,,,理論,優先度の異なる2種の制約をもつ非凸最適化に階層的ペナルティ法を提案し集積点の性質を示した,,
2-A-9,連続最適化(6),Random-Subspace Frank–Wolfe over Strongly Convex Sets,Pierre-Louis Poirion;Sebastian Pokutta;Akiko Takeda,RIKEN;Zuse Institute Berlin;The University of Tokyo,産学官,,,,数値実験,強凸領域上でランダム低次元断面のLMOを解くFrank-Wolfe法を提案し収束率を保証,,
2-A-10,連続最適化(7),Banach空間上の最適化問題に対する安定化SQP法の局所収束性解析,山川雄也,東京都立大学,大学,,,,理論,Banach空間上の制約付き最適化問題に対し安定化SQP法の局所二次収束性を証明,,
